date,symbol,file,status,bytes
2026-07-24,CHRUSDT,CHRUSDT-1m-2026-07-24.zip,ok,26876
2026-07-24,CHRUSDT,CHRUSDT-aggTrades-2026-07-24.zip,ok,69289
2026-07-24,CHZUSDT,CHZUSDT-1m-2026-07-24.zip,ok,35123
2026-07-24,CHZUSDT,CHZUSDT-aggTrades-2026-07-24.zip,ok,126740
2026-07-24,CITYUSDT,CITYUSDT-1m-2026-07-24.zip,ok,30475
2026-07-24,CITYUSDT,CITYUSDT-aggTrades-2026-07-24.zip,ok,64554
2026-07-24,CKBUSDT,CKBUSDT-1m-2026-07-24.zip,ok,19457
2026-07-24,CKBUSDT,CKBUSDT-aggTrades-2026-07-24.zip,ok,22757
2026-07-24,COINBUSDT,COINBUSDT-1m-2026-07-24.zip,ok,26249
2026-07-24,COINBUSDT,COINBUSDT-aggTrades-2026-07-24.zip,ok,130179
2026-07-24,COMPUSDT,COMPUSDT-1m-2026-07-24.zip,ok,20295
2026-07-24,COMPUSDT,COMPUSDT-aggTrades-2026-07-24.zip,ok,23399
2026-07-24,COOKIEUSDT,COOKIEUSDT-1m-2026-07-24.zip,ok,14254
2026-07-24,COOKIEUSDT,COOKIEUSDT-aggTrades-2026-07-24.zip,ok,10178
2026-07-24,COTIUSDT,COTIUSDT-1m-2026-07-24.zip,ok,22977
2026-07-24,COTIUSDT,COTIUSDT-aggTrades-2026-07-24.zip,ok,42410
2026-07-24,COWUSDT,COWUSDT-1m-2026-07-24.zip,ok,14704
2026-07-24,COWUSDT,COWUSDT-aggTrades-2026-07-24.zip,ok,9589
2026-07-24,CRCLBUSDT,CRCLBUSDT-1m-2026-07-24.zip,ok,38211
2026-07-24,CRCLBUSDT,CRCLBUSDT-aggTrades-2026-07-24.zip,ok,349785
2026-07-24,CRVUSDT,CRVUSDT-1m-2026-07-24.zip,ok,32472
2026-07-24,CRVUSDT,CRVUSDT-aggTrades-2026-07-24.zip,ok,126004
2026-07-24,CRWVBUSDT,CRWVBUSDT-1m-2026-07-24.zip,ok,19600
2026-07-24,CRWVBUSDT,CRWVBUSDT-aggTrades-2026-07-24.zip,ok,25430
2026-07-24,CTKUSDT,CTKUSDT-1m-2026-07-24.zip,ok,14629
2026-07-24,CTKUSDT,CTKUSDT-aggTrades-2026-07-24.zip,ok,11340
2026-07-24,CTSIUSDT,CTSIUSDT-1m-2026-07-24.zip,ok,14573
2026-07-24,CTSIUSDT,CTSIUSDT-aggTrades-2026-07-24.zip,ok,8816
2026-07-24,CUSDT,CUSDT-1m-2026-07-24.zip,ok,27587
2026-07-24,CUSDT,CUSDT-aggTrades-2026-07-24.zip,ok,54030
2026-07-24,CVCUSDT,CVCUSDT-1m-2026-07-24.zip,ok,18230
2026-07-24,CVCUSDT,CVCUSDT-aggTrades-2026-07-24.zip,ok,19580
2026-07-24,CVXUSDT,CVXUSDT-1m-2026-07-24.zip,ok,27661
2026-07-24,CVXUSDT,CVXUSDT-aggTrades-2026-07-24.zip,ok,107673
